// Header_Data
// PASS/FAIL, ICT_ID, SeriesNo, BoardName, BarCode, Date, Time, Result, Retest,WorkSchedule,OperID, DetailResult, MulBrdNum, MulBrdResult,RetryCnt,BeginDate,BeginTime,Version,BoardVersion,FixtureBarcode,PinOffset,LeftRight,Duration
PASS,1,3,500504,1031540040011006,20250719,124745,P,0,1,,PPPPPNNNNNNN,1,P,0,20250719,124741,0,,,0,0,4.94sec

// Component_Data
// StepNum, PartName, Act_V, Std_V, Offset, HLim, LLim, Mode, Type, HPin, LPin, Delay, GP1, GP2, GP3, Avge, Rpt, Msr_V, Dev, Result
 1, C102-PX,    0.200  ,    0.120V , 0.000000,  -1.0,  20.0, 8, PX, 371, 261, 100, 386, 0, 0, 0, D, 0.1985467V , +65.5 %, 0
 2, C121-PX,    0.200  ,    0.120V , 0.000000,  -1.0,  20.0, 8, PX, 371, 261, 100, 388, 0, 0, 0, D, 0.1981797V , +65.1 %, 0
 3, C133-PX,    0.200  ,    0.120V , 0.000000,  -1.0,  20.0, 8, PX, 370, 371, 100, 389, 0, 0, 0, D, 0.1985467V , +65.5 %, 0
 4, C111-PX,    0.200  ,    0.120V , 0.000000,  -1.0,  20.0, 8, PX, 370, 371, 100, 387, 0, 0, 0, D, 0.1985467V , +65.5 %, 0
 5, T100_1_2,    4.000  ,    4.000  , 0.000000,  10.0,  10.0, 0, J, 364, 363, 20, 0, 0, 0, 0, 0, 4.0000000  ,  0.0  %, 0
 6, T100_1_3,    1.000  ,    1.000  , 0.000000,  10.0,  10.0, 1, J, 364, 362, 20, 0, 0, 0, 0, 0, 1.0000000  ,  0.0  %, 0
 7, T100_2_3,    4.000  ,    4.000  , 0.000000,  10.0,  10.0, 0, J, 363, 362, 20, 0, 0, 0, 0, 0, 4.0000000  ,  0.0  %, 0
 8, T100_3_4,    4.000  ,    4.000  , 0.000000,  10.0,  10.0, 0, J, 362, 348, 20, 0, 0, 0, 0, 0, 4.0000000  ,  0.0  %, 0
 9, T100_4_5,    4.000  ,    4.000  , 0.000000,  10.0,  10.0, 0, J, 348, 347, 20, 0, 0, 0, 0, 0, 4.0000000  ,  0.0  %, 0
 10, T100_5_6,    4.000  ,    4.000  , 0.000000,  10.0,  10.0, 0, J, 347, 367, 20, 0, 0, 0, 0, 0, 4.0000000  ,  0.0  %, 0
 11, T100_6_7,    4.000  ,    4.000  , 0.000000,  10.0,  10.0, 0, J, 367, 366, 20, 0, 0, 0, 0, 0, 4.0000000  ,  0.0  %, 0
 12, T100_7_8,    4.000  ,    4.000  , 0.000000,  10.0,  10.0, 0, J, 366, 365, 20, 0, 0, 0, 0, 0, 4.0000000  ,  0.0  %, 0
 13, T100_8_9,    4.000  ,    4.000  , 0.000000,  10.0,  10.0, 0, J, 365, 371, 20, 0, 0, 0, 0, 0, 4.0000000  ,  0.0  %, 0
 14, T100_9_10,    1.000  ,    1.000  , 0.000000,  10.0,  10.0, 1, J, 371, 346, 20, 0, 0, 0, 0, 0, 1.0000000  ,  0.0  %, 0
 15, T100_10_1,    4.000  ,    4.000  , 0.000000,  10.0,  10.0, 0, J, 346, 364, 20, 0, 0, 0, 0, 0, 4.0000000  ,  0.0  %, 0
 16, D100/NC,   -1.000V ,    1.000V , 0.000000,  20.0,  20.0, 1, D, 379, 307, 20, 0, 0, 0, 0, 0, 0.0000000V ,  0.0  %, 0
 17, D100_1,    1.500V ,    1.500V , 0.000000,  -1.0,  30.0, 1, D, 307, 379, 0, 0, 0, 0, 0, 0, 0.0000000V ,  0.0  %, 0
