Level,Pos,Quantity,Unit,Material No,Rev,Description,Material type,Lifecycle,State,Part type,RoHS/WEEE compliant on,Reference,Catalogue ID,Old number,RoHS II State,RoHS II application scope,RoHS II category,RoHS II Data,RoHS II compliance date,Creation on (UTC),Modification on (UTC),PPS Part type,ELID,KLASSENTYP
1?,,,st,1031533?,01?,PRIM BOARD ASM SMD TRIO-UPS-2G,Components,VF (Pilot lots release),RELEASED,assembly,%D2017-07-04 00:00:00,,,13-55-150602-1,wait for information,,,"""001"",""7a."",""001"",""7c. I""",,%D2017-07-04 09:43:14,%D2018-03-08 13:33:21,-,D1974U07,$TEILEBEZ
1.1?,220,1,st,1031540?,01?,PCB PRIMBOARD TRIO-UPS-2G/3AC,Components,VF (Pilot lots release),VALID,pcb,%D2017-07-04 00:00:00,,,22-55-500504-1_04,compatible without exception,,,,,%D2017-07-04 09:45:50,%D2018-03-08 09:12:22,-,D194Z9KL,$TEILEBEZ
1.2?,310,3,st,9070013?,00?,FERRITE 55R  6A             SM,Components,SF (Series release),VALID,component,%D2016-01-20 00:00:00,"L100,L101,L102",,3B-55-100000-X,,,,,,%D2015-03-20 13:26:55,,smd,CQ3CKGPX,$TEILEBEZ
1.3?,710,3,st,9159793?,00?,"R  10R    0,125W  1   % TK00SM",Components,SF (Series release),VALID,component,%D2014-06-18 00:00:00,"R139,R205,R206",,71-55-201002-X,,,,,,%D2014-06-18 07:43:06,,smd,CN96KFXP,$TEILEBEZ
1.4?,711,8,st,9069812?,00?,"R 100R    0,1  W  1  % TK100SM",Components,SF (Series release),VALID,component,%D2015-08-24 00:00:00,"R144,R148,R149,R182,R188,R191,R192,R193",,71-55-301001-X,,,,,,%D2015-03-20 13:26:35,,smd,CQ3CKCU5,$TEILEBEZ
1.5?,712,4,st,9069810?,00?,"R   1K0   0,1  W  1  % TK100SM",Components,SF (Series release),VALID,component,%D2015-08-24 00:00:00,"R203,R209,R211,R231",,71-55-401001-X,,,,,,%D2015-03-20 13:26:35,,smd,CQ3CKCTP,$TEILEBEZ
1.6?,713,2,st,9069704?,00?,"R   5K6   0,1  W  1  % TK100SM",Components,SF (Series release),VALID,component,%D2015-08-24 00:00:00,"R222,R223",,71-55-405601-X,,,,,,%D2015-03-20 13:26:20,,smd,CQ3CK9U5,$TEILEBEZ
1.7?,714,5,st,9159789?,00?,"R  10K    0,1  W  1   % TK00SM",Components,SF (Series release),VALID,component,%D2014-06-17 00:00:00,"R141,R248,R249,R264,R265",,71-55-501001-X,,,,,,%D2014-06-17 13:37:14,,smd,CN8TGCQF,$TEILEBEZ
1.8?,715,9,st,9069800?,00?,"R  22K0   0,1  W  1  % TK100SM",Components,SF (Series release),VALID,component,%D2015-08-24 00:00:00,"R124,R177,R207,R212,R213,R214,R224,R225,R226",,71-55-502201-X,,,,,,%D2015-03-20 13:26:34,,smd,CQ3CKCRP,$TEILEBEZ
1.9?,716,4,st,9159804?,00?,"R  47K    0,1  W  1   % TK00SM",Components,SF (Series release),VALID,component,%D2014-06-19 00:00:00,"R204,R210,R237,R238",,71-55-504701-X,,,,,,%D2014-06-19 14:21:46,,smd,CN9KG7ID,$TEILEBEZ
1.10?,717,2,st,9072836?,00?,RESSMD 56K0 125M 1%00 0805 150,Components,SF (Series release),VALID,component,%D2015-11-18 00:00:00,"R169,R170",,71-55-505602-X,,,,,,%D2015-11-18 14:40:57,,-,CSL7PJ6X,$TEILEBEZ
1.11?,718,3,st,9069794?,00?,"R 100K0   0,1  W  1  % TK100SM",Components,SF (Series release),VALID,component,%D2015-08-24 00:00:00,"R241,R250,R252",,71-55-601001-X,,,,,,%D2015-03-20 13:26:33,,smd,CQ3CKCQL,$TEILEBEZ
1.12?,719,12,st,9069994?,00?,"R 100K0   0,4  W  1  % TK100SM",Components,SF (Series release),VALID,component,%D2015-08-24 00:00:00,"R153,R157,R167,R173,R176,R180,R194,R195,R196,R197,R198,R199",,71-55-601003-X,compatible without exception,,,,,%D2015-03-20 13:26:53,,smd,CQ3CKGLX,$TEILEBEZ
1.13?,720,8,st,9069511?,00?,"R 120K0   0,1  W  1  % TK100SM",Components,SF (Series release),VALID,component,%D2015-08-24 00:00:00,"R145,R189,R208,R239,R240,R247,R251,R255",,71-55-601201-X,,,,,,%D2015-03-20 13:26:00,,smd,CQ3CK5ZX,$TEILEBEZ
1.14?,721,23,st,9069912?,00?,"R 220K0   0,125W  1  % TK100SM",Components,SF (Series release),VALID,component,%D2016-01-20 00:00:00,"R111,R112,R113,R119,R120,R121,R125,R126,R127,R131,R132,R133,R147,R151,R155,R158,R163,R164,R168,R174,R236,R243,R246",,71-55-602202-X,,,,,,%D2015-03-20 13:26:44,,smd,CQ3CKERX,$TEILEBEZ
1.15?,722,3,st,9069509?,00?,"R 560K0   0,1  W  1  % TK100SM",Components,SF (Series release),VALID,component,%D2015-08-24 00:00:00,"R245,R253,R263",,71-55-605601-X,,,,,,%D2015-03-20 13:25:59,,smd,CQ3CK5ZH,$TEILEBEZ
